Record ID,Publication,Date,Author,Headline,Story_Link,Body - Length - Words,Pub_Tier,Outlet score,O_Desc,Topic_Prominence,Topic_Sentiment,Topic_State,Topic_Sentiment.1,Narrative_Performance_Description,Narrative_Performance_Prominence,Narrative_Performance_Sentiment,Narrative_Performance_State,Narrative_Performance_Signals,Narrative_Fun_Description,Narrative_Fun_Prominence,Narrative_Fun_Sentiment,Narrative_Fun_State,Narrative_Fun_Signals,Narrative_Innovation_Description,Narrative_Innovation_Prominence,Narrative_Innovation_Sentiment,Narrative_Innovation_State,Narrative_Innovation_Signals,Narrative_Experience_Description,Narrative_Experience_Prominence,Narrative_Experience_Sentiment,Narrative_Experience_State,Narrative_Experience_Signals,Narrative_Sustainability_Description,Narrative_Sustainability_Prominence,Narrative_Sustainability_Sentiment,Narrative_Sustainability_State,Narrative_5_Signals,Entity_BMW_Quality_Score,Enity_BMW_Prominence,Entity_BMW_Sentiment,Entity_BMW_Description,Entity_BMW_State,Entity_BMW_Modifier,Entity_BMW_Signals,Entity_Mercedes_Quality_Score,Entity_Mercedes_Prominence,Entity_Mercedes_Sentiment,Entity_Mercedes_Description,Entity_Mercedes_State,Entity_Mercedes_Modifier,Entity_Mercedes_Signals,Entity_Audi_Quality_score,Entity_Audi_Prominence,Entity_Audi_Sentiment,Entity_Audi_State,Entity_Audi_Modifiers,Entity_Audi_Signals,Entity_Audi_Description,Entity_Tesla_Quality_score,Entity_Tesla_Prominence,Entity_Tesla_Sentiment,Entity_Tesla_Description,Entity_Tesla_State,Entity_Tesla_Modifier,Entity_Tesla_Signals,Topic_Present,Topic_Sentiment_Normalized,Narrative_Performance_Present,Narrative_Performance_Sentiment_Normalized,Narrative_Fun_Present,Narrative_Fun_Sentiment_Normalized,Narrative_Innovation_Present,Narrative_Innovation_Sentiment_Normalized,Narrative_Experience_Present,Narrative_Experience_Sentiment_Normalized,Narrative_Sustainability_Present,Narrative_Sustainability_Sentiment_Normalized,Any_Narrative_Present,tracked_entities_in_article,prominent_tracked_entities_in_article,Central_Narrative_Key,Central_Narrative_Prominence,Central_Narrative_Sentiment,Entity_BMW_Present,Entity_BMW_Sentiment_Normalized,Entity_Mercedes_Present,Entity_Mercedes_Sentiment_Normalized,Entity_Audi_Present,Entity_Audi_Sentiment_Normalized,Entity_Tesla_Present,Entity_Tesla_Sentiment_Normalized,validation_notes,is_valid_row
recU8F1CNaCL072cF,Washington Post,6/18/24,Rachel Tashjian,You don’t have to look for a ‘man in finance.’ He’s everywhere.,https://www.washingtonpost.com/style/fashion/2024/06/18/man-in-finance/,1645,1,5,The article explores the resurgence of finance culture and its influence on fashion and social trends.,2,1.0,Niche,,"Premium performance is referenced metaphorically through aspirational finance lifestyles and luxury goods as status symbols, but not in the context of vehicles or driving.",0.5,0.25,Niche,,"Fun to drive is not discussed; enjoyment is framed around cultural trends, not vehicles.",0.0,0.0,,,Technical innovation is not addressed; the article focuses on cultural and fashion trends.,0.0,0.0,,,In-car experience is not mentioned; interior quality or vehicle features are absent.,0.0,0.0,,,Sustainability is not discussed; environmental responsibility is not a theme.,0.0,0.0,,,0.0,0.5,,BMW is mentioned as an aspirational symbol of wealth in a historical context.,Supporting Player,Low-Heat Visibility,,0.0,0.0,,Mercedes is not mentioned or discussed in the article.,Off-Stage,Overlooked,,0.0,0.0,,Off-Stage,Overlooked,,,0.0,0.0,,,Off-Stage,Overlooked,,True,1.0,True,1.0,False,1.0,False,1.0,False,1.0,False,1.0,True,1,0,Narrative_Performance,0.5,0.25,True,1.0,False,1.0,False,1.0,False,1.0,,True
recVlroLlF1zs0BMJ,New York Times,8/31/24,Luke Smith,George Russell prepares for life as Mercedes F1 team leader – memes and all,https://www.nytimes.com/athletic/5591137/2024/06/26/f1-george-russell-mercedes/,1967,1,5,George Russell's emergence as Mercedes F1 team leader amid recent performance gains.,4,2.25,Healthy,,"The article highlights Mercedes' improved F1 performance, Russell's pole positions, and the team's return to competitiveness, emphasizing refined engineering, race pace, and the pursuit of victories.",4.0,2.75,Healthy,,"Russell's emotional connection to racing, his drive to win, and the thrill of competition are explored, including his iconic celebratory pose and the satisfaction he seeks from victories.",3.0,2.0,Healthy,,"Technical upgrades to the Mercedes car, simulator gains, and leadership changes are discussed as key factors in recent competitive improvements.",2.75,2.25,Healthy,,"The article briefly touches on Russell's mental preparation, psychological support, and handling of social media, but does not focus on in-car features or interior experience.",0.5,0.25,Niche,,"There is no discussion of sustainability, environmental responsibility, or related topics.",0.0,0.0,,,0.0,0.0,,,Off-Stage,Competitor-Led,,50.0,5.0,2.0,Article focuses on Mercedes F1 team progress and George Russell leadership.,Leader,Great Story,,0.0,0.0,,Off-Stage,Competitor-Led,,,0.0,0.0,,,Off-Stage,Competitor-Led,,True,2.25,True,2.75,True,2.0,True,2.25,True,1.0,False,1.0,True,1,1,Narrative_Performance,4.0,2.75,False,1.0,True,2.0,False,1.0,False,1.0,,True
recPlISFHKMOH4pWR,Washington Post,9/3/24,Glynn Hill,Women are helping fuel F1’s rise. So why aren’t there any female drivers?,https://www.washingtonpost.com/sports/2024/09/03/f1-academy-women-drivers/,2448,1,5,The article explores women's participation and barriers in Formula One racing.,2,1.25,Niche,,Performance is discussed as a barrier and aspiration for female drivers.,2.0,1.0,Niche,,The joy and passion of driving is highlighted through personal stories.,2.0,1.25,Niche,,Technical innovation is referenced in context of racing progression and access.,1.0,0.75,Niche,,In-car experience is touched on regarding inclusivity and driver support.,1.0,1.0,Niche,,Sustainability is not discussed or implied in the article.,0.0,0.0,,,0.0,0.0,,,Off-Stage,Overlooked,,2.5,0.5,1.0,Mercedes is mentioned in relation to F1 and Susie Wolff's background.,Supporting Player,Low-Heat Visibility,,0.0,0.0,,Off-Stage,Overlooked,,,0.0,0.0,,,Off-Stage,Overlooked,,True,1.25,True,1.0,True,1.25,True,1.0,True,1.0,False,1.0,True,1,0,Narrative_Fun,2.0,1.25,False,1.0,True,1.0,False,1.0,False,1.0,,True
recvrsCQwiRSvDyEJ,New York Times,1/2/25,Luke Smith,"F1 Abu Dhabi GP preview: McLaren on cusp of glory, Hamilton’s Mercedes farewell",https://www.nytimes.com/athletic/5976429/2024/12/07/f1-abu-dhabi-gp-preview-mclaren-championship-ferrari-lewis-hamilton/,2291,1,5,"Preview of Abu Dhabi F1 GP focusing on team battles, farewells, and key storylines.",4,1.75,Healthy,,"The article highlights high-performance racing, team strategies, and driver skill.",4.0,2.0,Healthy,,"Describes the excitement, emotional stakes, and thrill of competition for drivers and fans.",3.75,2.0,Healthy,,"Touches on technical aspects like car upgrades, qualifying performance, and penalties.",2.0,1.0,Niche,,Mentions emotional experiences and team dynamics but not in-car comfort or amenities.,0.5,1.0,Niche,,"No discussion of sustainability, environmental responsibility, or related topics.",0.0,0.0,,,0.0,0.0,,BMW is not mentioned or referenced in the article.,Off-Stage,Missed Opportunity,,-6.25,1.25,-1.0,Mercedes is discussed in the context of Hamilton's final F1 race with the team.,Under Fire,Peripheral Hit,,0.0,0.0,,Off-Stage,Missed Opportunity,,Audi is not mentioned or referenced anywhere in the article.,0.0,0.0,,Tesla is not mentioned or referenced anywhere in the article.,Off-Stage,Missed Opportunity,,True,1.75,True,2.0,True,2.0,True,1.0,True,1.0,False,1.0,True,1,0,Narrative_Performance,4.0,2.0,False,1.0,True,-1.0,False,1.0,False,1.0,,True
recaMk3FVkZIlGmKz,New York Times,1/3/25,Luke Smith,"Lewis Hamilton’s final F1 lap with Mercedes: A year of challenges, a decade of triumphs",https://www.nytimes.com/athletic/5974648/2024/12/06/lewis-hamilton-final-mercedes-race-f1-ferrari/,1554,1,5,Lewis Hamilton reflects on his final F1 race with Mercedes after a historic partnership.,4,1.75,Healthy,,The article highlights Hamilton's and Mercedes' pursuit of top-level performance and the challenges faced in maintaining competitive speed and control during the season.,3.75,1.75,Healthy,,"Hamilton's emotional connection to driving and the deep bond with his team are explored, emphasizing the passion and joy found in racing.",3.0,2.0,Healthy,,"Technical challenges with the Mercedes car and references to engineering and car development are discussed, focusing on how car design affected performance.",2.5,0.75,Healthy,,The article touches on the emotional and personal aspects of the team environment but does not focus on in-car features or interior experience.,0.75,1.0,Niche,,Sustainability is not discussed or referenced in the article.,0.0,0.0,,,0.0,0.0,,,Off-Stage,Competitor-Led,,68.75,5.0,2.75,Article focuses on Lewis Hamilton's final F1 race with Mercedes and legacy.,Leader,Great Story,,0.0,0.0,,Off-Stage,Competitor-Led,,,0.0,0.0,,,Off-Stage,Competitor-Led,,True,1.75,True,1.75,True,2.0,True,1.0,True,1.0,False,1.0,True,1,1,Narrative_Performance,3.75,1.75,False,1.0,True,2.75,False,1.0,False,1.0,,True
recBTMFm5sL9e37XX,Wall Street Journal,1/26/25,Tom Fairless,"Germany’s Economic Model Is Broken, and No One Has a Plan B",https://www.wsj.com/economy/trade/germany-economic-model-broken-exports-095a488d,2600,1,5,Germany faces deep economic crisis as its export-driven model falters.,2,-2.5,Risky,,"Performance and luxury are referenced as part of Germany's auto legacy, but mainly in decline.",1.25,-1.75,Ambient Risk,,"Driving enjoyment is implied as part of the auto sector's past appeal, now diminished.",0.75,-1.25,Ambient Risk,,"Technical innovation is discussed as lacking, with Germany falling behind in new sectors.",2.75,-2.25,High Risk,,In-car experience is not directly discussed or highlighted in the article.,0.0,0.0,,,"Sustainability is mentioned in context of energy transition, but as a cost burden.",1.0,-1.5,Ambient Risk,,0.0,0.0,,BMW is not mentioned or discussed in the article.,Off-Stage,Innocent Bystander,,0.0,0.0,,Mercedes is not mentioned or discussed in the article.,Off-Stage,Innocent Bystander,,-32.0,4.0,-2.0,Under Fire,High-Stakes Takedown,,Audi is central to Ingolstadt's economic struggles and Germany's auto crisis.,0.0,0.0,,Tesla is not mentioned or discussed anywhere in the article.,Off-Stage,Innocent Bystander,,True,-2.5,True,-1.75,True,-1.25,True,-2.25,False,1.0,True,-1.5,True,1,1,Narrative_Innovation,2.75,-2.25,False,1.0,False,1.0,True,-2.0,False,1.0,,True
recbEZMf4fFteWFZ6,New York Times,2/6/25,Madeline Coleman,"Sauber’s 2025 second seat options: Valtteri Bottas, Zhou Guanyu or a young talent?",https://www.nytimes.com/athletic/5794183/2024/09/26/sauber-2025-seat-options-valtteri-bottas-zhou-guanyu/,1523,1,5,Sauber weighs 2025 F1 driver options amid management changes and team challenges.,2,1.0,Niche,,"The article discusses F1 driver performance, experience, and technical skills.",2.0,0.75,Niche,,Driver enjoyment and emotional connection to racing are briefly referenced.,1.0,0.25,Niche,,Technical expertise and development roles of drivers are mentioned in team context.,1.75,0.75,Niche,,"Driver comfort and learning curves are noted, but interior experience is not discussed.",0.25,0.25,Niche,,Sustainability and environmental responsibility are not addressed in the article.,0.0,0.0,,,0.0,0.0,,,Off-Stage,Overlooked,,2.5,0.5,1.0,Mercedes is mentioned as Bottas's former team during his F1 career.,Supporting Player,Low-Heat Visibility,,0.04,1.0,1.0,Supporting Player,Low-Heat Visibility,,Audi is mentioned as Sauber's future identity and in management context only.,0.0,0.0,,Tesla is not mentioned or referenced anywhere in the article.,Off-Stage,Overlooked,,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,False,1.0,True,2,0,Narrative_Performance,2.0,0.75,False,1.0,True,1.0,True,1.0,False,1.0,,True
recoYdTzXkEy39M4u,New York Times,2/20/25,Luke Smith,What Lewis Hamilton’s first weeks as a Ferrari Formula 1 driver will look like,https://www.nytimes.com/athletic/6033268/2025/01/03/lewis-hamilton-ferrari-f1-first-weeks/,3192,1,5,The article covers Lewis Hamilton joining Ferrari and Antonelli replacing him at Mercedes.,4,2.5,Healthy,,"Focus on F1 drivers joining top teams, their performance expectations and history.",3.75,2.75,Healthy,,"Highlights drivers' passion, excitement, and emotional connection to racing and teams.",3.0,2.25,Healthy,,"Mentions technical testing, simulator use, and adaptation to new car systems.",2.0,1.75,Niche,,"Touches on team integration, driver comfort, and off-track experiences.",1.75,1.5,Niche,,"References to diversity and inclusion efforts in F1, especially Hamilton's advocacy.",1.25,2.0,Niche,,0.0,0.0,,,Off-Stage,Competitor-Led,,15.0,3.0,1.0,Mercedes is discussed as the F1 team losing Hamilton and debuting Antonelli.,Leader,Good Story,,0.0,0.0,,Off-Stage,Competitor-Led,,,0.0,0.0,,,Off-Stage,Competitor-Led,,True,2.5,True,2.75,True,2.25,True,1.75,True,1.5,True,2.0,True,1,1,Narrative_Performance,3.75,2.75,False,1.0,True,1.0,False,1.0,False,1.0,,True
recm7EbLV3KxZ7OXW,Washington Post,2/26/25,Dan Keating,Elon Musk’s business empire is built on $38 billion in government funding,https://www.washingtonpost.com/technology/interactive/2025/elon-musk-business-government-contracts-funding/,2367,1,5,Analysis of Elon Musk's companies' reliance on government funding.,2,-1.0,Risky,,Performance of vehicles is not discussed or referenced in the article.,0.0,0.0,,,Driving enjoyment or emotional connection to vehicles is not addressed.,0.0,0.0,,,Highlights government-backed technical innovation at Tesla and SpaceX.,2.75,1.0,Healthy,,"Interior quality, comfort, or in-car experience are not mentioned.",0.0,0.0,,,"Discusses sustainability via EVs and clean tech, but with mixed framing.",2.0,0.25,Niche,,0.0,0.0,,BMW is not mentioned or discussed anywhere in the article.,Off-Stage,Competitor-Led,,0.0,0.0,,Mercedes is not mentioned or discussed anywhere in the article.,Off-Stage,Competitor-Led,,0.0,0.0,,Off-Stage,Competitor-Led,,Audi is not mentioned or discussed anywhere in the article.,-25.0,5.0,-1.0,"Tesla is a central focus, discussed in relation to government funding and growth.",Under Fire,Soft Target,,True,-1.0,False,1.0,False,1.0,True,1.0,False,1.0,True,1.0,True,1,1,Narrative_Innovation,2.75,1.0,False,1.0,False,1.0,False,1.0,True,-1.0,,True
recAQj6MsulWiTAUw,New York Times,3/5/25,Phillip Horton,Meet the F1 Driver Who Is Filling the Seat Left by Lewis Hamilton,https://www.nytimes.com/2025/03/05/sports/autoracing/f1-andrea-antonelli-mercedes.html,3960,1,5,Profile of Andrea Antonelli replacing Lewis Hamilton at Mercedes in F1.,3,2.5,Healthy,,"Focus on Antonelli's racing achievements, skill, and expectations at Mercedes.",4.0,2.75,Healthy,,"Highlights Antonelli's passion for driving, enjoyment of racing, and emotional journey.",3.0,2.0,Healthy,,"Mentions technical preparation, testing, and adaptation to F1 machinery and systems.",2.0,1.75,Niche,,"Touches on Antonelli's adjustment to fame, team integration, and off-track experiences.",1.75,1.25,Niche,,No discussion of sustainability or environmental responsibility is present.,0.0,0.0,,,0.0,0.0,,,Off-Stage,Competitor-Led,,43.75,5.0,1.75,Mercedes is the central focus as Antonelli replaces Hamilton in F1 team.,Leader,Good Story,,0.0,0.0,,Off-Stage,Competitor-Led,,,0.0,0.0,,,Off-Stage,Competitor-Led,,True,2.5,True,2.75,True,2.0,True,1.75,True,1.25,False,1.0,True,1,1,Narrative_Performance,4.0,2.75,False,1.0,True,1.75,False,1.0,False,1.0,,True
